country,pre_covid_growth_avg,growth_2020,shock_2020_pp,post_covid_growth_avg,recovery_year,cumulative_recovery_pct
IDN,3.77667448018,-2.87685444505,-6.65352892523,3.54555375846,2023,8.0688208521
MYS,3.98844107773,-5.45248028612,-9.44092136386,4.17702504597,2025,15.8126222231
SGP,2.27407564563,-3.3657418443,-5.63981748993,3.67813348098,2025,15.6732930881
THA,,,,,,
VNM,5.86732030448,1.69282355359,-4.1744967509,4.27212940308,2025,31.0185217879
