DATAFLOW,FREQ,INDICATOR,ECONOMY_CODE,TIME_PERIOD,OBS_VALUE,UNIT,UNIT_MULT,DECIMALS,FOOTNOTE,OBS_STATUS,REF_YEAR,BASE_YEAR,DATA_SOURCE,METHODOLOGY
ADB:DF_NA(1.0),A,NGDP_XDC,INO,2023,20892.3123,IDR,12,0,"1) For 2010 onward, data are based on the 2008 System of National Accounts. Base year was also changed from 2000 to 2010.|2) 2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDP_XDC,INO,2024,22138.9908,IDR,12,0,"1) For 2010 onward, data are based on the 2008 System of National Accounts. Base year was also changed from 2000 to 2010.|2) 2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",P,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDP_XDC,INO,2025,23821.1036,IDR,12,0,"1) For 2010 onward, data are based on the 2008 System of National Accounts. Base year was also changed from 2000 to 2010.|2) 2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",P,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2005,543578,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2006,596784,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2007,665340,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2008,769949,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2009,712857,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2010,821434,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2011,911733,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2012,971252,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2013,1018614,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2014,1106443,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2015,1176941.187,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2016,1249697.694,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2017,1372309.832,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2018,1447759.635,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2019,1512737.754,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2020,1418490.911,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2021,1548700.791,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2022,1794893.14,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2023,1825325.444,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2024,1933209.415,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,MAL,2025,2025379.14,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2005,212723,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2006,236158.8,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2007,272697.6,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2008,273941.6,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2009,282394.5,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2010,326980.1,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2011,351367.9,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2012,368770.5,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2013,384870.3,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2014,398947.9,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2015,423444.1,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2016,443143.6,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2017,476136.2,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2018,509830.4,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2019,514052.1,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2020,484602,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2021,592625,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2022,708983,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2023,686398,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2024,765497.5,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2025,789529.2,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2005,7614.413,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2006,8400.647,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2007,9076.303,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2008,9706.929,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2009,9658.664,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2010,10808.142,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
