DATAFLOW,FREQ,INDICATOR,ECONOMY_CODE,TIME_PERIOD,OBS_VALUE,UNIT,UNIT_MULT,DECIMALS,FOOTNOTE,OBS_STATUS,REF_YEAR,BASE_YEAR,DATA_SOURCE,METHODOLOGY
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2005,26.0455,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2006,26.5499,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2007,27.0584,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2008,27.5676,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2009,28.0815,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2010,28.5886,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2011,29.08,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2012,29.5697,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2013,30.2418,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2014,30.7115,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2015,31.1753,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2016,31.6229,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2017,32.0178,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2018,32.3958,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2019,32.499,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2020,32.4474,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2021,32.5763,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2022,32.6981,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,MAL,2023,33.4,PERSONS,6,1,"2010, 2020: For 2000, 2010, and 2020, figures are based on adjusted data from the Population Census. For all other years, intercensal mid-year population were estimated using the cohort-component method.",A,Ending 30 June,,Department of Statistics,
