country,year,indicator,available,status
VNM,2013,exports_pct,True,observed
VNM,2013,imports_pct,True,observed
VNM,2013,current_account_pct,True,observed
VNM,2013,reserves_months,True,unknown
VNM,2014,manufacturing_pct,True,observed
VNM,2014,exports_pct,True,observed
VNM,2014,imports_pct,True,observed
VNM,2014,current_account_pct,True,unknown
VNM,2014,reserves_months,True,unknown
VNM,2015,manufacturing_pct,True,observed
VNM,2015,exports_pct,True,observed
VNM,2015,imports_pct,True,observed
VNM,2015,current_account_pct,True,observed
VNM,2015,reserves_months,True,unknown
VNM,2016,manufacturing_pct,True,observed
VNM,2016,exports_pct,True,observed
VNM,2016,imports_pct,True,observed
VNM,2016,current_account_pct,True,observed
VNM,2016,reserves_months,True,unknown
VNM,2017,manufacturing_pct,True,observed
VNM,2017,exports_pct,True,observed
VNM,2017,imports_pct,True,observed
VNM,2017,current_account_pct,True,observed
VNM,2017,reserves_months,True,unknown
VNM,2018,manufacturing_pct,True,observed
VNM,2018,exports_pct,True,observed
VNM,2018,imports_pct,True,observed
VNM,2018,current_account_pct,True,observed
VNM,2018,reserves_months,True,unknown
VNM,2019,manufacturing_pct,True,observed
VNM,2019,exports_pct,True,observed
VNM,2019,imports_pct,True,observed
VNM,2019,current_account_pct,True,observed
VNM,2019,reserves_months,True,unknown
VNM,2020,manufacturing_pct,True,observed
VNM,2020,exports_pct,True,observed
VNM,2020,imports_pct,True,observed
VNM,2020,current_account_pct,True,observed
VNM,2020,reserves_months,True,unknown
VNM,2021,manufacturing_pct,True,observed
VNM,2021,exports_pct,True,observed
VNM,2021,imports_pct,True,observed
VNM,2021,current_account_pct,True,observed
VNM,2021,reserves_months,True,unknown
VNM,2022,manufacturing_pct,True,observed
VNM,2022,exports_pct,True,observed
VNM,2022,imports_pct,True,observed
VNM,2022,current_account_pct,True,observed
VNM,2022,reserves_months,True,unknown
VNM,2023,manufacturing_pct,True,observed
VNM,2023,exports_pct,True,observed
VNM,2023,imports_pct,True,observed
VNM,2023,current_account_pct,True,observed
VNM,2023,reserves_months,True,unknown
VNM,2024,manufacturing_pct,True,observed
VNM,2024,exports_pct,True,observed
VNM,2024,imports_pct,True,observed
VNM,2024,current_account_pct,True,observed
VNM,2024,reserves_months,True,unknown
VNM,2025,manufacturing_pct,True,observed
VNM,2025,exports_pct,True,observed
VNM,2025,imports_pct,True,observed
VNM,2025,current_account_pct,True,observed
VNM,2025,reserves_months,False,missing
